# orig id, path to csv with max 50 dimensions, path to settings, path to preprocessing settings, orig data paths, preprocessing data path
lines-0-0,"3_visData/lines-0/lines-0-0_DimRed-PCA_random_state_42_SFalse/data_lines-0-0.points","3_visData/lines-0/lines-0-0_DimRed-PCA_random_state_42_SFalse/data_lines-0-0.toml","3_visData/lines-0/lines-0-0_DimRed-PCA_random_state_42_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-0-1,"3_visData/lines-0/lines-0-1_DimRed-MDS_metric_True-random_state_42-dissimilarity_euclidean_SFalse/data_lines-0-1.points","3_visData/lines-0/lines-0-1_DimRed-MDS_metric_True-random_state_42-dissimilarity_euclidean_SFalse/data_lines-0-1.toml","3_visData/lines-0/lines-0-1_DimRed-MDS_metric_True-random_state_42-dissimilarity_euclidean_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-0-2,"3_visData/lines-0/lines-0-2_DimRed-MDS_metric_True-random_state_32489013-dissimilarity_euclidean_SFalse/data_lines-0-2.points","3_visData/lines-0/lines-0-2_DimRed-MDS_metric_True-random_state_32489013-dissimilarity_euclidean_SFalse/data_lines-0-2.toml","3_visData/lines-0/lines-0-2_DimRed-MDS_metric_True-random_state_32489013-dissimilarity_euclidean_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-0-3,"3_visData/lines-0/lines-0-3_DimRed-tSNE_perplexity_10-metric_euclidean-random_state_42_SFalse/data_lines-0-3.points","3_visData/lines-0/lines-0-3_DimRed-tSNE_perplexity_10-metric_euclidean-random_state_42_SFalse/data_lines-0-3.toml","3_visData/lines-0/lines-0-3_DimRed-tSNE_perplexity_10-metric_euclidean-random_state_42_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-0-4,"3_visData/lines-0/lines-0-4_DimRed-tSNE_perplexity_30-metric_euclidean-random_state_42_SFalse/data_lines-0-4.points","3_visData/lines-0/lines-0-4_DimRed-tSNE_perplexity_30-metric_euclidean-random_state_42_SFalse/data_lines-0-4.toml","3_visData/lines-0/lines-0-4_DimRed-tSNE_perplexity_30-metric_euclidean-random_state_42_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-0-5,"3_visData/lines-0/lines-0-5_DimRed-tSNE_perplexity_50-metric_euclidean-random_state_42_SFalse/data_lines-0-5.points","3_visData/lines-0/lines-0-5_DimRed-tSNE_perplexity_50-metric_euclidean-random_state_42_SFalse/data_lines-0-5.toml","3_visData/lines-0/lines-0-5_DimRed-tSNE_perplexity_50-metric_euclidean-random_state_42_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-0-6,"3_visData/lines-0/lines-0-6_DimRed-UMAP_random_state_42_SFalse/data_lines-0-6.points","3_visData/lines-0/lines-0-6_DimRed-UMAP_random_state_42_SFalse/data_lines-0-6.toml","3_visData/lines-0/lines-0-6_DimRed-UMAP_random_state_42_SFalse/lines-0_PCA50_original_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\original\lines-0_PCA50_original.csv
lines-1-0,"3_visData/lines-1/lines-1-0_DimRed-PCA_random_state_42_SFalse/data_lines-1-0.points","3_visData/lines-1/lines-1-0_DimRed-PCA_random_state_42_SFalse/data_lines-1-0.toml","3_visData/lines-1/lines-1-0_DimRed-PCA_random_state_42_SFalse/lines-1_PCA50_standardization_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\standardization\lines-1_PCA50_standardization.csv
lines-1-1,"3_visData/lines-1/lines-1-1_DimRed-MDS_metric_True-random_state_42-dissimilarity_euclidean_SFalse/data_lines-1-1.points","3_visData/lines-1/lines-1-1_DimRed-MDS_metric_True-random_state_42-dissimilarity_euclidean_SFalse/data_lines-1-1.toml","3_visData/lines-1/lines-1-1_DimRed-MDS_metric_True-random_state_42-dissimilarity_euclidean_SFalse/lines-1_PCA50_standardization_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\standardization\lines-1_PCA50_standardization.csv
lines-1-2,"3_visData/lines-1/lines-1-2_DimRed-MDS_metric_True-random_state_32489013-dissimilarity_euclidean_SFalse/data_lines-1-2.points","3_visData/lines-1/lines-1-2_DimRed-MDS_metric_True-random_state_32489013-dissimilarity_euclidean_SFalse/data_lines-1-2.toml","3_visData/lines-1/lines-1-2_DimRed-MDS_metric_True-random_state_32489013-dissimilarity_euclidean_SFalse/lines-1_PCA50_standardization_.toml",[data/line_1_100.csv;data/line_2_100.csv],csv,2_preprocessedData\standardization\lines-1_PCA50_standardization.csv
